date,0,New York City,Philadelphia,Baltimore city,District of Columbia,Fulton,Hillsborough,Miami-Dade
2020-03-26,15.0,435.0,1.0,0.0,3.0,4.0,1.0,0.0
2020-03-27,20.0,560.0,2.0,0.0,3.0,12.0,2.0,2.0
2020-03-28,24.0,825.0,5.0,2.0,4.0,13.0,2.0,3.0
2020-03-29,27.0,991.0,5.0,2.0,5.0,12.0,2.0,3.0
2020-03-30,34.0,1202.0,7.0,2.0,9.0,16.0,2.0,4.0
2020-03-31,54.0,1475.0,14.0,2.0,9.0,18.0,3.0,7.0
2020-04-01,75.0,1848.0,14.0,2.0,11.0,20.0,3.0,11.0
2020-04-02,97.0,2152.0,14.0,2.0,12.0,23.0,5.0,20.0
2020-04-03,118.0,2648.0,14.0,4.0,15.0,26.0,5.0,25.0
2020-04-04,127.0,3221.0,24.0,6.0,21.0,26.0,5.0,31.0
2020-04-05,136.0,3646.0,28.0,7.0,22.0,28.0,5.0,31.0
2020-04-06,156.0,4857.0,28.0,8.0,24.0,32.0,5.0,41.0
2020-04-07,209.0,5631.0,58.0,9.0,24.0,39.0,7.0,47.0
2020-04-08,256.0,6441.0,86.0,10.0,27.0,42.0,7.0,50.0
2020-04-09,300.0,7249.0,86.0,13.0,32.0,48.0,9.0,66.0
2020-04-10,374.0,7981.0,110.0,17.0,38.0,50.0,12.0,84.0
2020-04-11,441.0,8734.0,130.0,22.0,47.0,50.0,15.0,93.0
2020-04-12,486.0,9448.0,128.0,24.0,50.0,50.0,16.0,97.0
2020-04-13,555.0,10096.0,127.0,26.0,52.0,52.0,16.0,109.0
2020-04-14,635.0,10857.0,206.0,29.0,67.0,60.0,18.0,143.0
2020-04-15,746.0,11566.0,222.0,27.0,72.0,63.0,18.0,155.0
2020-04-16,851.0,12109.0,264.0,35.0,81.0,66.0,18.0,183.0
2020-04-17,964.0,12283.0,298.0,42.0,86.0,74.0,19.0,195.0
2020-04-18,1080.0,12411.0,342.0,43.0,91.0,74.0,19.0,198.0
2020-04-19,1196.0,13632.0,365.0,51.0,96.0,75.0,19.0,207.0
2020-04-20,1287.0,14074.0,370.0,54.0,105.0,80.0,19.0,223.0
2020-04-21,1389.0,14513.0,394.0,59.0,112.0,83.0,20.0,233.0
2020-04-22,1552.0,14959.0,419.0,64.0,127.0,85.0,20.0,240.0
2020-04-23,1694.0,15361.0,443.0,66.0,139.0,88.0,21.0,270.0
2020-04-24,1841.0,15754.0,449.0,71.0,153.0,91.0,21.0,287.0
2020-04-25,1968.0,16146.0,466.0,78.0,165.0,91.0,21.0,295.0
2020-04-26,2092.0,16486.0,472.0,79.0,178.0,94.0,21.0,301.0
2020-04-27,2176.0,16821.0,484.0,88.0,185.0,103.0,21.0,302.0
2020-04-28,2287.0,17206.0,516.0,90.0,190.0,108.0,22.0,324.0
2020-04-29,2488.0,17597.0,516.0,101.0,205.0,116.0,23.0,338.0
2020-04-30,2601.0,17809.0,607.0,112.0,224.0,118.0,23.0,352.0
2020-05-01,2718.0,17931.0,638.0,115.0,231.0,122.0,24.0,358.0
2020-05-02,2823.0,18021.0,705.0,126.0,240.0,122.0,24.0,367.0
2020-05-03,2932.0,18451.0,727.0,129.0,251.0,124.0,27.0,369.0
2020-05-04,2993.0,18580.0,726.0,129.0,258.0,129.0,29.0,378.0
2020-05-05,3080.0,18719.0,743.0,133.0,264.0,130.0,32.0,407.0
2020-05-06,3226.0,18993.0,803.0,140.0,277.0,135.0,33.0,432.0
2020-05-07,3316.0,19141.0,816.0,149.0,285.0,137.0,36.0,454.0
2020-05-08,3414.0,19210.0,875.0,155.0,304.0,144.0,37.0,468.0
2020-05-09,3516.0,19324.0,891.0,163.0,311.0,144.0,37.0,482.0
2020-05-10,3612.0,19436.0,894.0,169.0,323.0,144.0,37.0,487.0
2020-05-11,3704.0,19563.0,893.0,171.0,328.0,145.0,38.0,490.0
2020-05-12,3726.0,19736.0,908.0,178.0,336.0,149.0,41.0,505.0
2020-05-13,3835.0,19815.0,986.0,186.0,350.0,152.0,44.0,518.0
2020-05-14,3942.0,19904.0,1008.0,192.0,358.0,159.0,46.0,535.0
2020-05-15,4020.0,19972.0,1021.0,192.0,368.0,164.0,47.0,548.0
2020-05-16,4088.0,20071.0,1031.0,200.0,375.0,165.0,51.0,559.0
2020-05-17,4142.0,20214.0,1031.0,203.0,383.0,165.0,53.0,561.0
2020-05-18,4187.0,20298.0,1080.0,208.0,392.0,171.0,55.0,566.0
2020-05-19,4235.0,20376.0,1109.0,210.0,400.0,174.0,60.0,578.0
2020-05-20,4316.0,20422.0,1152.0,215.0,407.0,174.0,64.0,578.0
2020-05-21,4368.0,20491.0,1178.0,218.0,412.0,190.0,64.0,602.0
2020-05-22,4419.0,20569.0,1221.0,220.0,418.0,196.0,70.0,614.0
2020-05-23,4462.0,20621.0,1233.0,229.0,427.0,197.0,72.0,629.0
2020-05-24,4505.0,20697.0,1233.0,231.0,432.0,196.0,72.0,631.0
2020-05-25,4526.0,20740.0,1235.0,234.0,440.0,199.0,72.0,633.0
2020-05-26,4562.0,20795.0,1243.0,236.0,440.0,209.0,72.0,633.0
2020-05-27,4601.0,20844.0,1262.0,236.0,445.0,214.0,72.0,655.0
2020-05-28,4649.0,20895.0,1282.0,240.0,453.0,224.0,76.0,669.0
2020-05-29,4703.0,20960.0,1300.0,248.0,460.0,229.0,79.0,685.0
2020-05-30,4736.0,20991.0,1308.0,254.0,462.0,230.0,81.0,700.0
2020-05-31,4784.0,21050.0,1316.0,258.0,466.0,235.0,81.0,700.0
2020-06-01,4917.0,21090.0,1320.0,261.0,468.0,241.0,81.0,702.0
