date,Romania,Bulgaria,Serbia,Bosnia and Herzegovina,Croatia,Greece,Cyprus,Malta
2020-03-26,1029.0,264.0,384.0,191.0,495.0,892.0,146.0,134.0
2020-03-27,1292.0,293.0,457.0,237.0,586.0,966.0,162.0,139.0
2020-03-28,1452.0,331.0,659.0,258.0,657.0,1061.0,179.0,149.0
2020-03-29,1815.0,346.0,741.0,323.0,713.0,1156.0,214.0,151.0
2020-03-30,2109.0,359.0,785.0,368.0,790.0,1212.0,230.0,156.0
2020-03-31,2245.0,399.0,900.0,420.0,867.0,1314.0,262.0,169.0
2020-04-01,2460.0,422.0,1060.0,459.0,963.0,1415.0,320.0,188.0
2020-04-02,2738.0,457.0,1171.0,533.0,1011.0,1544.0,356.0,196.0
2020-04-03,3183.0,485.0,1476.0,579.0,1079.0,1613.0,396.0,202.0
2020-04-04,3613.0,503.0,1624.0,624.0,1126.0,1673.0,426.0,213.0
2020-04-05,3864.0,531.0,1908.0,654.0,1182.0,1735.0,446.0,227.0
2020-04-06,4057.0,549.0,2200.0,674.0,1222.0,1755.0,465.0,241.0
2020-04-07,4417.0,577.0,2447.0,764.0,1282.0,1832.0,494.0,293.0
2020-04-08,4761.0,593.0,2666.0,804.0,1343.0,1884.0,526.0,299.0
2020-04-09,5202.0,618.0,2867.0,858.0,1407.0,1955.0,564.0,337.0
2020-04-10,5467.0,635.0,3105.0,901.0,1495.0,2011.0,595.0,350.0
2020-04-11,5990.0,661.0,3380.0,946.0,1534.0,2081.0,616.0,370.0
2020-04-12,6300.0,675.0,3630.0,1009.0,1600.0,2114.0,633.0,378.0
2020-04-13,6633.0,685.0,4054.0,1037.0,1650.0,2145.0,662.0,384.0
2020-04-14,6879.0,713.0,4465.0,1083.0,1704.0,2170.0,695.0,393.0
2020-04-15,7216.0,747.0,4873.0,1110.0,1741.0,2192.0,715.0,399.0
2020-04-16,7707.0,800.0,5318.0,1167.0,1791.0,2207.0,735.0,412.0
2020-04-17,8067.0,846.0,5690.0,1214.0,1814.0,2224.0,750.0,422.0
2020-04-18,8418.0,878.0,5994.0,1268.0,1832.0,2235.0,761.0,426.0
2020-04-19,8746.0,894.0,6318.0,1285.0,1871.0,2235.0,767.0,427.0
2020-04-20,8936.0,929.0,6630.0,1309.0,1881.0,2245.0,772.0,431.0
2020-04-21,9242.0,975.0,6890.0,1342.0,1908.0,2401.0,784.0,443.0
2020-04-22,9710.0,1024.0,7144.0,1368.0,1950.0,2408.0,790.0,444.0
2020-04-23,10096.0,1097.0,7276.0,1413.0,1981.0,2463.0,795.0,445.0
2020-04-24,10417.0,1234.0,7483.0,1421.0,2009.0,2490.0,804.0,447.0
2020-04-25,10635.0,1247.0,7779.0,1486.0,2016.0,2506.0,810.0,448.0
2020-04-26,11036.0,1300.0,8042.0,1516.0,2030.0,2517.0,817.0,448.0
2020-04-27,11339.0,1363.0,8275.0,1565.0,2039.0,2534.0,822.0,450.0
2020-04-28,11616.0,1399.0,8497.0,1585.0,2047.0,2566.0,837.0,458.0
2020-04-29,11978.0,1447.0,8724.0,1677.0,2062.0,2576.0,843.0,463.0
2020-04-30,12240.0,1506.0,9009.0,1757.0,2076.0,2591.0,850.0,465.0
2020-05-01,12567.0,1555.0,9009.0,1781.0,2085.0,2612.0,857.0,467.0
2020-05-02,12732.0,1594.0,9362.0,1839.0,2088.0,2620.0,864.0,468.0
2020-05-03,13163.0,1618.0,9464.0,1857.0,2096.0,2626.0,872.0,477.0
2020-05-04,13512.0,1652.0,9557.0,1926.0,2101.0,2632.0,874.0,480.0
2020-05-05,13837.0,1704.0,9677.0,1946.0,2112.0,2642.0,878.0,482.0
2020-05-06,14107.0,1778.0,9791.0,1987.0,2119.0,2663.0,883.0,484.0
2020-05-07,14499.0,1829.0,9848.0,2027.0,2125.0,2678.0,889.0,486.0
2020-05-08,14811.0,1872.0,9943.0,2070.0,2161.0,2691.0,891.0,489.0
2020-05-09,15131.0,1921.0,10032.0,2090.0,2176.0,2710.0,892.0,490.0
2020-05-10,15362.0,1965.0,10032.0,2117.0,2187.0,2716.0,898.0,496.0
2020-05-11,15588.0,1990.0,10176.0,2141.0,2196.0,2726.0,901.0,503.0
2020-05-12,15778.0,2023.0,10243.0,2158.0,2207.0,2744.0,903.0,506.0
2020-05-13,16002.0,2069.0,10295.0,2181.0,2213.0,2760.0,905.0,508.0
2020-05-14,16247.0,2100.0,10374.0,2218.0,2221.0,2770.0,907.0,522.0
2020-05-15,16437.0,2138.0,10438.0,2236.0,2222.0,2810.0,910.0,532.0
2020-05-16,16704.0,2175.0,10496.0,2267.0,2224.0,2819.0,914.0,546.0
2020-05-17,16871.0,2211.0,10610.0,2290.0,2226.0,2834.0,916.0,553.0
2020-05-18,17036.0,2235.0,10699.0,2304.0,2228.0,2836.0,917.0,558.0
2020-05-19,17191.0,2259.0,10733.0,2321.0,2232.0,2840.0,918.0,569.0
2020-05-20,17387.0,2292.0,10833.0,2338.0,2234.0,2850.0,922.0,584.0
2020-05-21,17585.0,2331.0,10919.0,2350.0,2237.0,2853.0,923.0,599.0
2020-05-22,17712.0,2372.0,11024.0,2372.0,2243.0,2874.0,927.0,600.0
2020-05-23,17857.0,2408.0,11092.0,2391.0,2243.0,2876.0,927.0,609.0
2020-05-24,18070.0,2427.0,11159.0,2401.0,2244.0,2878.0,935.0,610.0
2020-05-25,18283.0,2433.0,11193.0,2406.0,2244.0,2882.0,937.0,611.0
2020-05-26,18429.0,2443.0,11227.0,2416.0,2244.0,2892.0,939.0,611.0
2020-05-27,18594.0,2460.0,11275.0,2435.0,2244.0,2903.0,939.0,612.0
2020-05-28,18791.0,2477.0,11300.0,2462.0,2245.0,2906.0,941.0,616.0
2020-05-29,18982.0,2485.0,11354.0,2485.0,2245.0,2909.0,942.0,616.0
2020-05-30,19133.0,2499.0,11381.0,2494.0,2246.0,2915.0,944.0,618.0
2020-05-31,19257.0,2513.0,11412.0,2510.0,2246.0,2917.0,944.0,618.0
2020-06-01,19398.0,2519.0,11430.0,2524.0,2246.0,2918.0,949.0,619.0
2020-06-02,19517.0,2538.0,11454.0,2535.0,2246.0,2937.0,952.0,620.0
2020-06-03,19669.0,2560.0,11523.0,2551.0,2246.0,2937.0,958.0,622.0
2020-06-04,19907.0,2585.0,11571.0,2594.0,2247.0,2952.0,958.0,622.0
2020-06-05,20103.0,2627.0,11667.0,2606.0,2247.0,2967.0,960.0,625.0
2020-06-06,20290.0,2711.0,11741.0,2606.0,2247.0,2980.0,960.0,627.0
2020-06-07,20479.0,2727.0,11823.0,2606.0,2247.0,2997.0,964.0,629.0
2020-06-08,20604.0,2810.0,11896.0,2704.0,2247.0,3049.0,970.0,630.0
2020-06-09,20749.0,2889.0,11965.0,2728.0,2247.0,3058.0,972.0,632.0
2020-06-10,20945.0,2993.0,12031.0,2775.0,2249.0,3068.0,974.0,635.0
2020-06-11,21182.0,3086.0,12102.0,2832.0,2249.0,3088.0,975.0,640.0
2020-06-12,21404.0,3191.0,12175.0,2893.0,2249.0,3108.0,980.0,645.0
2020-06-13,21679.0,3266.0,12251.0,2893.0,2251.0,3112.0,980.0,646.0
2020-06-14,21999.0,3290.0,12310.0,2893.0,2252.0,3121.0,983.0,649.0
2020-06-15,22165.0,3341.0,12367.0,3040.0,2254.0,3134.0,985.0,650.0
2020-06-16,22415.0,3453.0,12426.0,3085.0,2255.0,3148.0,985.0,656.0
2020-06-17,22760.0,3542.0,12522.0,3141.0,2258.0,3203.0,985.0,662.0
2020-06-18,23080.0,3674.0,12616.0,3174.0,2269.0,3227.0,985.0,663.0
2020-06-19,23400.0,3755.0,12709.0,3273.0,2280.0,3237.0,985.0,663.0
2020-06-20,23730.0,3872.0,12803.0,3273.0,2299.0,3256.0,985.0,664.0
2020-06-21,24045.0,3905.0,12894.0,3273.0,2317.0,3266.0,986.0,665.0
2020-06-22,24291.0,3984.0,12990.0,3525.0,2336.0,3287.0,988.0,665.0
2020-06-23,24505.0,4114.0,13092.0,3588.0,2366.0,3302.0,990.0,665.0
2020-06-24,24826.0,4242.0,13235.0,3676.0,2388.0,3310.0,991.0,665.0
2020-06-25,25286.0,4408.0,13372.0,3796.0,2483.0,3321.0,992.0,668.0
2020-06-26,25697.0,4513.0,13565.0,3935.0,2539.0,3343.0,992.0,670.0
2020-06-27,26022.0,4625.0,13792.0,3935.0,2624.0,3366.0,994.0,670.0
2020-06-28,26313.0,4691.0,14046.0,3935.0,2691.0,3376.0,994.0,670.0
